latitude,longitude,station_name
-21.4311,-43.5531,SANTOS DUMONT 
-21.1225,-44.2325,PORTO TIRADENTES 
-21.1650,-44.1356,PORTO DO ELVAS 
-21.1833,-45.0500,RIBEIRAO VERMELHO 
-21.1894,-44.3289,VILA RIO DAS MORTES 
-21.1333,-44.2667,SAO JOAO DEL REI 
-21.7000,-45.9000,MACHADO 
-21.9667,-45.3667,LAMBARI 
-21.4833,-43.3833,PIAU (BARRAGEM) 
-21.6667,-45.9167,MACHADO 
-21.9333,-46.3833,FRUTICOLA INDUSTRIAL 
-21.2936,-46.7039,GUAXUPE 
-21.7833,-46.5500,POCOS DE CALDAS 
-21.0667,-47.7500,JURUCE (SARANDI - CMEF) 
-21.1000,-47.7500,CLUBE DE REGATAS 
-21.2167,-47.8667,RIBEIRAO PRETO 
-21.3000,-47.8667,FAZENDA SERRA (US. JUNQUEIRA) 
-21.8333,-46.9000,VARGEM GRANDE DO SUL 
-21.4333,-47.5833,BENTO QUIRINO 
-21.1833,-47.8000,RIBEIRAO PRETO 
-21.9833,-47.3333,PIRASSUNUNGA 
-21.1333,-47.8000,USINA TANQUINHO (SANBRA) 
-21.0833,-48.8000,PALMARES PAULISTA 
-21.7500,-48.2333,SITIO MONTE TABOR 
-21.7833,-48.8500,IBITINGA 
-21.7833,-48.1667,ARARAQUARA (CPEF) 
-21.7833,-48.1667,ARARAQUARA 
-21.8167,-49.6333,CAFELANDIA 
-21.0500,-49.9667,SAO JERONIMO 
-21.3167,-50.8667,FAZENDA SANTA ALICE 
-21.7833,-50.7833,PARAPUA 
-21.9333,-50.5333,TUPA 
-21.3333,-50.9500,USINA UNIVALEM 
-21.4667,-51.5333,DRACENA 
-9.71640,-35.8917,MARECHAL DEODORO 
-3.98330,-38.6167,PACATUBA 
-21.7000,-57.8833,PORTO MURTINHO 
-21.7258,-52.3342,PORTO UERE 
-21.8061,-54.6031,PORTO RIO BRILHANTE 
-21.6186,-55.1369,MARACAJU 
-27.7028,-48.8019,POCO FUNDO 
-22.3833,-41.8000,MACAE 
-22.0425,-41.0556,FAROL DE SAO TOME 
-22.0775,-41.7089,MACABUZINHO 
-22.3667,-41.7833,MACAE 
-22.0428,-42.0442,LEITAO DA CUNHA 
-22.3894,-42.5000,FAZENDA SAO JOAO 
-22.4986,-42.9111,REPRESA DO PARAISO 
-22.4667,-42.6500,CACHOEIRAS DE MACACU 
-22.4411,-42.6219,FAZENDA SAO JOAQUIM 
-22.2994,-42.4011,VARGEM ALTA 
-22.2767,-42.5022,VARGEM GRANDE 
-22.1569,-42.4164,BOM JARDIM 
-22.2858,-42.6600,FAZENDA MENDES 
-22.3772,-42.5517,TEODORO DE OLIVEIRA 
-22.3500,-42.5667,CASCATINHA DO CONEGO 
-22.2714,-42.7947,BOM SUCESSO 
-22.5592,-42.6989,JAPUIBA 
-22.2011,-42.9000,FAZENDA SOBRADINHO 
-22.0503,-42.6783,SUMIDOURO 
-22.0333,-42.3500,CORDEIRO 
-22.6500,-42.4000,SILVA JARDIM (BAIRRO DO CAJU) 
-22.7167,-42.6167,RIO BONITO 
-22.8500,-42.4667,PALMITAL 
-22.7167,-42.3333,ATERRADO DO SAMPAIO 
-22.4500,-42.9833,SOBERBO 
-22.9167,-42.8167,MARICA 
-22.2333,-42.0500,GLICERIO (CRUBIXAIS) 
-22.3833,-42.9667,CASCATA 
-22.2833,-42.5333,NOVA FRIBURGO 
-22.4500,-42.9333,TERESOPOLIS 
-4.33330,-41.7333,ACUDE CALDEIRAO 
-8.80000,-35.8333,MARAIAL 
-3.70000,-40.3500,BILHEIRA 
-22.9167,-42.2167,COLEGIO MILITAR 
-22.0333,-42.3833,CORDEIRO 
-22.7081,-42.7042,TANGUA (P-41R) 
-22.3767,-42.5750,APOLINARIO (E-04) 
-22.5842,-42.9408,ESCOLA UNIAO 
-22.4108,-42.7236,FAZENDA SANTO AMARO 
-22.9108,-42.8219,MOMBUCA 
-22.9033,-42.7072,CARANGUEJO 
-22.4822,-42.9961,POSTO GARRAFAO 
-22.8531,-42.5519,RIO MOLE 
-22.9306,-42.5028,SAQUAREMA 
-22.5500,-42.9000,ICONHA (ORINDI) 
-22.5333,-43.0500,ANDORINHAS 
-22.2189,-43.7036,VALENCA 
-22.5117,-43.1708,PETROPOLIS 
-22.4853,-43.1492,ITAMARATI - SE 
-22.4381,-43.1703,RIO DA CIDADE 
-22.2419,-43.1044,AREAL (GRANJA GABI) 
-22.2997,-43.1781,FAGUNDES 
-22.1272,-43.1522,MOURA BRASIL 
-22.2008,-43.0269,MORELI (PARADA MORELI) 
-22.5333,-43.8167,FAZENDA SANTANA 
-22.4333,-42.9833,TERESOPOLIS (PARQUE NACIONAL) 
-22.8667,-43.4667,BANGU 
-22.8667,-42.3333,ARARUAMA 
-22.6333,-42.4667,RODO DO IMBAU 
-22.0333,-42.3500,DOUTOR LORETTI 
-22.8167,-43.6333,PONTE DO GUANDU 
-22.5833,-43.3500,TINGUA 
-22.7833,-43.2833,CANAL MERITI 
-22.9667,-43.5833,MATO ALTO 
-22.8833,-43.3500,CAMPINHO 
-22.6000,-43.0167,CITROLANDIA 
-22.9333,-43.2667,MORRO DO ENCONTRO 
-22.9242,-43.2681,PRACA ROCCO 
-22.9217,-43.4200,ELETROBRAS 
-22.8658,-43.4258,REALENGO - 4DR 
-22.9667,-43.4000,AUTODROMO DO RIO 
-22.8881,-43.2489,BENFICA - CCPL 
-22.8625,-43.5433,MENDANHA - 6DR 
-22.8500,-43.2167,CIDADE UNIVERSITARIA 
-22.9417,-43.3511,CIDADE DE DEUS 
-22.9000,-43.1667,RIO DE JANEIRO 
-22.3500,-43.7000,SANTA MONICA 
-22.7667,-43.6833,OBSERVATORIO (KM 47) 
-22.9833,-43.3667,JACAREPAGUA 
-22.9500,-43.2667,ALTO DA BOA VISTA 
-22.7333,-43.3000,NUCLEO COLONIAL S. BENTO 
-22.5833,-43.3000,XEREM 
-22.6333,-43.5500,SAO PEDRO DA ALDEIA 
-22.8667,-43.7667,ITAGUAI 
-22.9167,-43.2167,LARANJEIRAS 
-22.9000,-43.1833,MORRO DA CONCEICAO 
-22.9667,-43.2500,PAO DE ACUCAR 
-22.8833,-43.2167,PENHA 
-22.8667,-43.4333,REALENGO 
-22.9167,-43.1833,SANTA TERESA 
-22.7667,-43.6833,ECOLOGIA AGRIC. (KM 47) 
-22.5167,-43.1833,ARARAS 
-22.7667,-43.4500,NOVA IGUACU 
-22.7428,-43.3114,SAO BENTO 
-22.9500,-43.2500,COLEGIO REGINA COELI 
-22.8306,-43.3294,IRAJA - 3DR 
-22.7167,-43.5667,QUEIMADOS (FAZ WEINSCHENK) 
-22.7333,-43.2500,CANAL IGUACU 
-22.9500,-43.1833,PRAIA BOTAFOGO (ELEV. ESGOTO) 
-22.9833,-43.2000,COPACABANA - ELEV. ESGOTO 
