latitude,longitude,station_name
-20.1261,-43.9503,REPRESA DO MIGUELAO (MMV) 
-20.0183,-44.5042,FAZENDA AGUA LIMPA 
-20.0714,-44.5703,ITAUNA - MONTANTE 
-20.1922,-44.7936,CARMO DO CAJURU 
-20.1369,-44.8919,DIVINOPOLIS 
-20.6611,-44.0706,ENTRE RIOS DE MINAS 
-20.1978,-44.1208,MELO FRANCO 
-20.6253,-44.4333,FAZENDA CAMPO GRANDE 
-20.3333,-44.2333,BONFIM 
-20.0428,-44.0433,IBIRITE 
-20.1692,-44.5150,FAZENDA BENEDITO CHAVES 
-20.0514,-44.4517,FAZENDA VISTA ALEGRE 
-20.1056,-44.4011,ALTO DA BOA VISTA 
-20.0000,-45.9833,BAMBUI 
-20.0075,-44.3311,FAZENDA CURRALINHO 
-20.1297,-44.4744,FAZENDA COQUEIROS 
-20.7408,-44.7833,PONTE FERNAO DIAS 
-20.9442,-44.9075,SANTO ANTONIO DO AMPARO 
-20.6353,-44.0489,USINA JOAO RIBEIRO 
-20.5625,-44.8675,CARMO DA MATA (ETA - COPASA) 
-20.0003,-44.4617,ESTIVA 
-20.1150,-44.4464,BOCAINA 
-20.0450,-44.4078,JARDIM 
-20.0686,-44.3450,ESCOLA DE VETERINARIA 
-20.0867,-44.4272,SERRA AZUL 
-20.1789,-45.7003,IGUATAMA 
-20.9050,-45.1250,SANTANA DO JACARE 
-20.4722,-45.0361,LAMOUNIER 
-20.4833,-45.1167,ITAPECERICA 
-20.0167,-45.5333,LAGOA DA PRATA 
-20.2833,-45.5333,ARCOS 
-20.2947,-45.5428,ARCOS (COPASA) 
-20.0367,-45.5353,LAGOA DA PRATA 
-20.4619,-45.9450,PIUM-I 
-20.0844,-45.2967,SANTO ANTONIO DO MONTE 
-20.3333,-46.3667,VARGEM BONITA 
-20.0167,-44.0500,IBIRITE 
-20.1017,-46.0550,FAZENDA AJUDAS 
-20.7600,-45.2742,CANDEIAS 
-20.0211,-45.9661,BAMBUI 
-20.0683,-44.4922,CALAMBAU 
-20.4572,-45.4192,FORMIGA 
-20.7392,-46.7353,ITAU DE MINAS 
-20.7500,-46.8667,USINA MARAMBAIA 
-20.9833,-44.2833,PENEDO 
-20.1667,-44.8000,BARRAGEM DO CAJURU 
-20.1000,-44.2833,JUSANTE CARRAPATO 
-20.4000,-44.4667,ITAGUARA 
-20.8117,-46.8081,USINA SANTANA 
-20.3300,-46.3661,VARGEM BONITA 
-20.3400,-46.3700,VARGEM BONITA 
-20.0000,-47.8333,FAZENDA SAO GERALDO 
-20.0333,-47.7500,IGARAPAVA 
-20.0833,-47.4333,RIFAINA 
-20.0833,-47.4167,RIFAINA 
-20.2578,-47.8708,CANINDE 
-20.1833,-47.7167,BURITIZAL 
-20.2167,-47.9000,FAZENDA SANTA JACINTA 
